miRNA	miRBase	small melocule	FDA	DB	CID	Detection method 	Species	Condition	PMID	Year	Reference	Support	Expression pattern of miRNA	
miR-21	MIMAT0000076	Polylysine	NULL	NULL	162282	Quantitative real-time PCR	Homo sapiens 	293T(FLAG AGO2) cells	20529860	2010	Identification of small molecules that suppress microRNA function and reverse tumorigenesis.	We selected six cellular miRNAs, miR-16, -17, -21, -30a, -196a, and let-7a, and asked how PLL or TPF treatment would affect their expression(Fig. 4).	down-regulated	
miR-21	MIMAT0000076	Trypaflavine	NULL	NULL	NULL	Quantitative real-time PCR	Homo sapiens 	293T(FLAG AGO2) cells	20529860	2010	Identification of small molecules that suppress microRNA function and reverse tumorigenesis.	We selected six cellular miRNAs, miR-16, -17, -21, -30a, -196a, and let-7a, and asked how PLL or TPF treatment would affect their expression(Fig. 4).	down-regulated	
miR-21	MIMAT0000076	3,3'-diindolylmethane (BR-DIM) 	NULL	NULL	3071	Quantitative real-time PCR	Homo sapiens 	human breast cancer cells	20724916	2010	3,3'-Diindolylmethane negatively regulates Cdc25A and induces a G2/M arrest by modulation of microRNA 21 in human breast cancer cells.	Furthermore, treatment of MCF-7 cells with DIM, which increased microRNA 21 expression, caused a downregulation of Cdc25A, resulting in an inhibition of breast cancer cell proliferation. 	up-regulated	
miR-21	MIMAT0000076	Curcumin	NULL	NULL	969516	Quantitative real-time PCR	Homo sapiens 	colorectal cancer	20815812	2011	Curcumin regulates miR-21 expression and inhibits invasion and metastasis in colorectal cancer.	Additionally, curcumin significantly inhibited miR-21 expression in primary tumours generated in vivo in the CAM assay by Rko and HCT116 cells (P<0.00006 and P<0.035 respectively). 	down-regulated	
miR-21	MIMAT0000076	Dihydrotestosterone(DHT) 	NULL	DB02901	10635	Microarray	Homo sapiens 	prostate cancer	20945501	2011	Androgen regulation of micro-RNAs in prostate cancer.	In  microarray  analysis  of 723  human  miRNAs,  17  miRNAs  were  found  to  be >1.5-fold up- or downregulated in LNCaP or VCaP cell lines 24 hr after DHT treatment (Table I). 	up-regulated	
miR-21	MIMAT0000076	Dihydrotestosterone(DHT) 	NULL	DB02901	10635	Quantitative real-time PCR	Homo sapiens 	prostate cancer	20945501	2011	Androgen regulation of micro-RNAs in prostate cancer.	The expression changes of the six highest expressed androgen-regulated miRNAs (miR-21, -22, -29a, -29b,-141,  and  -494)  were  validated  by  Q-RT-PCR.  The Q-RT-PCR confirmed the microarray data except for miR-22,  which  failed  to  give  a  Specific  Q-RT-PCR-reaction 	up-regulated	
miR-21	MIMAT0000076	Nicotine	approved	DB00184	89594	Quantitative real-time PCR	Homo sapiens 	gastric cancer cells	21081469	2011	NF-?B targets miR-16 and miR-21 in gastric cancer: involvement of prostaglandin E receptors.	We found that miR-16 and miR-21 were upregulated upon nicotine stimulation, transfection with anti-miR-16 or anti-miR-21 significantly abrogated cell proliferation. 	up-regulated	
miR-21	MIMAT0000076	All-trans-retinoic acid (ATRA)	approved	DB00755	444795	Microarray	Homo sapiens 	estrogen receptor-positive (ER alpha(+)) breast carcinoma cells	21131358	2011	Induction of miR-21 by retinoic acid in estrogen receptor-positive breast carcinoma cells: biological correlates and molecular targets.	We found that pro-oncogenic miR-21 is selectively induced by ATRA in ER?(+) cells. 	up-regulated	
miR-21	MIMAT0000076	All-trans-retinoic acid (ATRA)	approved	DB00755	444795	Quantitative real-time PCR	Homo sapiens 	estrogen receptor-positive (ER alpha(+)) breast carcinoma cells	21131358	2011	Induction of miR-21 by retinoic acid in estrogen receptor-positive breast carcinoma cells: biological correlates and molecular targets.	We found that pro-oncogenic miR-21 is selectively induced by ATRA in ER?(+) cells. 	up-regulated	
miR-21	MIMAT0000076	Formaldehyde	NULL	DB03843	712	Microarray	Homo sapiens 	Human lung epithelial cells (A549)	21147603	2011	Epigenetic changes induced by air toxics formaldehyde exposure alters miRNA expression profiles in human lung cells.	"A total of 89 miRNAs showed a significant decrease in expression in the formaldehyde-exposed lung samples compared with control samples [Figure 1; see also Supplemental Material, Table 1 (doi:10.1289/ehp.1002614)]."	down-regulated	
miR-21	MIMAT0000076	Enoxacin	approved	DB00467	3229	Quantitative real-time PCR	Homo sapiens 	HCT-116 and RKO colon cancer cell lines 	21368194	2011	Small molecule enoxacin is a cancer-specific growth inhibitor that acts by enhancing TAR RNA-binding protein 2-mediated microRNA processing.	We observed that HCT-116 and RKO enoxacin-treated cells featured an overall increase in the production of 24 mature miRNAs molecules (Fig. 2A) and a down-regulation of the corresponding precursor miRNA molecules (Fig. S2). 	up-regulated	
miR-21	MIMAT0000076	Ginsenoside Rh2	NULL	NULL	119307	Microarray	Homo sapiens 	human glioma cells U251	21372826	2011	Ginsenoside Rh2 inhibits glioma cell proliferation by targeting microRNA-128.	Table 1 summarizes the results of Rh2-regulated miRNAs and their chromosomal locations are summarized.Of the 452 human miRNAs tested the microarray, 14 miRNAs were up-regulated and 12 miRNAs were down-regulated in the Rh2-treated U251 cells. 	down-regulated	
miR-21	MIMAT0000076	Ginsenoside Rh2	NULL	NULL	119307	Quantitative real-time PCR	Homo sapiens 	human glioma cells U251	21372826	2011	Ginsenoside Rh2 inhibits glioma cell proliferation by targeting microRNA-128.	To further confirm the miRNA array results, we randomly selected the following four miRNAs: the up-regulated miR-128 and miR-15b as well as the down-regulated miR-21 and miR-25, and measured their expression levels by quantitative RT-PCR.  	down-regulated	
miR-21	MIMAT0000076	5-Fluorouracil 	approved	DB00544	3385	Microarray	Homo sapiens 	MCF-7 breast cancer cells	21506117	2011	5-Fluorouracil drug alters the microRNA expression profiles in MCF-7 breast cancer cells.	miRNA microarray analysis of 5-FU treated MCF-7 cells identified a set of 42 miRNAs which were significantly dysregulated between 5-FU treated and control samples (Table 1).	down-regulated	
miR-21	MIMAT0000076	5-Fluorouracil 	approved	DB00544	3385	Quantitative real-time PCR	Homo sapiens 	MCF-7 breast cancer cells	21506117	2011	5-Fluorouracil drug alters the microRNA expression profiles in MCF-7 breast cancer cells.	miR-let-7g, miR-15a, miR-21, miR-27a, miR-365, and miR-374b were down-regulated, while miR-16, miR-483-5p, miR-574-3p, and miR-575 were up-regulated according to the qRT-PCR data.	down-regulated	
miR-21	MIMAT0000076	Gemcitabine	approved	DB00441	60750	Quantitative real-time PCR	Homo sapiens 	pancreatic cancer 	21738581	2011	Tissue and serum microRNAs in the Kras(G12D) transgenic animal model and in patients with pancreatic cancer.	Finally, gemcitabine treatment of control animals and p48-Cre/LSL-Kras(G12D) animals with pancreatic cancer caused distinct and up to 60-fold changes in circulating miRs that indicate differential drug effects on normal and cancer tissues.	down-regulated	
miR-21	MIMAT0000076	Glossy ganoderma spore oil 	NULL	NULL	NULL	Quantitative real-time PCR	Homo sapiens 	lung adenocarcinoma	21842656	2011	Glossy ganoderma spore oil promotes apoptosis of human lung adenocarcinoma SPC-A1 through downregulation of miR-21	glossy ganoderma spore oil induced apoptosis of SPC-A1 cell through down-regulating the expression of miR-21 and up-regulating tumor suppressors.	down-regulated	
miR-21	MIMAT0000076	Arsenic trioxide	approved	DB01169	14888	Quantitative real-time PCR	Homo sapiens 	acute promyelocytic leukemia	22072212	2012	Alteration in miRNA gene expression pattern in acute promyelocytic leukemia cell induced by arsenic trioxide: a possible mechanism to explain arsenic multi-target action.	Figure 4 shows the list of the 88 cancer-related miRNAs used  in  this  experiment  and  their  fold  changes  in  the expression  level  after  ATO  exposure.   	up-regulated	
miR-21	MIMAT0000076	5-aza-2'-deoxycytidine (5-Aza-CdR)	approved	DB01262	451668	Microarray	Homo sapiens 	breast cancer MDA-MB231	22076154	2011	Integrated epigenetics of human breast cancer: synoptic investigation of targeted genes, microRNAs and proteins upon demethylation treatment.	Several oncosuppressor miRNAs showed significant up/down-regulation after DAC treatment but the dysregulation of the most important ones or miRNAs were detected in both early and late passages after treatment (table 2). 	down-regulated	
miR-21	MIMAT0000076	5-aza-2'-deoxycytidine (5-Aza-CdR)	approved	DB01262	451668	Microarray	Homo sapiens 	breast cancer MDA-MB231	22076154	2011	Integrated epigenetics of human breast cancer: synoptic investigation of targeted genes, microRNAs and proteins upon demethylation treatment.	Several oncosuppressor miRNAs showed significant up/down-regulation after DAC treatment but the dysregulation of the most important ones or miRNAs were detected in both early and late passages after treatment (table 2). 	down-regulated	
miR-21	MIMAT0000076	5-aza-2'-deoxycytidine (5-Aza-CdR)	approved	DB01262	451668	Microarray	Homo sapiens 	breast cancer SKBR3	22076154	2011	Integrated epigenetics of human breast cancer: synoptic investigation of targeted genes, microRNAs and proteins upon demethylation treatment.	Several oncosuppressor miRNAs showed significant up/down-regulation after DAC treatment but the dysregulation of the most important ones or miRNAs were detected in both early and late passages after treatment (table 2). 	down-regulated	
miR-21	MIMAT0000076	5-aza-2'-deoxycytidine (5-Aza-CdR)	approved	DB01262	451668	Microarray	Homo sapiens 	breast cancer SKBR3	22076154	2011	Integrated epigenetics of human breast cancer: synoptic investigation of targeted genes, microRNAs and proteins upon demethylation treatment.	Several oncosuppressor miRNAs showed significant up/down-regulation after DAC treatment but the dysregulation of the most important ones or miRNAs were detected in both early and late passages after treatment (table 2). 	down-regulated	
miR-21	MIMAT0000076	Marine fungal metabolite 1386A	NULL	NULL	NULL	Microarray	Homo sapiens 	MCF-7 breast cancer cells.	22159329	2012	Marine fungal metabolite 1386A alters the microRNA profile in MCF-7 breast cancer cells.	1386A treatment significantly altered the miRNA expression profile in MCF-7 cells. miRNA microarray analysis identified 45 miRNAs which showed significant dysregulation between the 1386A-treated and control samples (Table I). 	up-regulated	
miR-21	MIMAT0000076	Microcystin-LR (MC-LR) 	NULL	NULL	445434	Quantitative real-time PCR	Homo sapiens 	WRL-68 Cells	22265967	2012	Alterations in microRNA expression linked to microcystin-LR-induced tumorigenicity in human WRL-68 Cells.	We found that the onco-miRNAs miR-21 and miR-221 displayed upregulated expression while the liver-specific miR-122 was downregulated.	up-regulated	
miR-21	MIMAT0000076	Sulindac sulfide 	approved	DB00605 	5352624	Quantitative real-time PCR	Homo sapiens 	HCT116 colon tumor cells 	22286762	2012	Sulindac inhibits tumor cell invasion by suppressing NF-?B-mediated transcription of microRNAs	The results showed that SS treatment induced 17 miRNAs, while 115 miRNAs were suppressed by two-fold or greater (Supplementary Figure 1).	down-regulated	
miR-21	MIMAT0000076	Curcumin	NULL	NULL	969516	Quantitative real-time PCR	Homo sapiens 	esophageal cancer cells	22363450	2012	Curcumin induces cell death in esophageal cancer cells through modulating Notch signaling.	Finally, curcumin treatment down-regulate the expressions of Notch-1 specific microRNAs miR-21 and miR-34a, and upregulated tumor suppressor let-7a miRNA.	down-regulated	
miR-21	MIMAT0000076	Trastuzumab	approved	DB00072	NULL	Microarray	Homo sapiens 	HER2-positive breast cancer 	22384020	2012	Trastuzumab produces therapeutic actions by upregulating miR-26a and miR-30b in breast cancer cells.	Fourth, the relative fold-change (fold change of microRNAs – average fold change of the microRNAs in MCF7 and MBA-MD-231 cells) of the remaining microRNAs, and microRNAs with more than a 1.5-fold up/down-regulation, were listed in Table 1.	up-regulated	
miR-21	MIMAT0000076	Trastuzumab	approved	DB00072	NULL	Quantitative real-time PCR	Homo sapiens 	HER2-positive breast cancer 	22384020	2012	Trastuzumab produces therapeutic actions by upregulating miR-26a and miR-30b in breast cancer cells.	Among the listed microRNAs, we selected seven microRNAs (miR-18a, miR-21, miR-26a, miR-26b, miR-30b, miR98 and miR-210) to validate the array-based expression data by Taqman quantitative RT-PCR	up-regulated	
miR-21	MIMAT0000076	Trastuzumab 	approved	DB00072	NULL	Microarray	Homo sapiens 	SKBR3 cells.	22384020	2012	Trastuzumab produces therapeutic actions by upregulating miR-26a and miR-31b in breast cancer cells.	Next, we conducted a microRNA profiling analysis using these samples to screen those microRNAs that were up- or down-regulated only in HER2-positive cells. This analysis identified miR-26a and miR-31b as trastuzumab-inducible microRNAs. 	up-regulated	
miR-21	MIMAT0000076	17beta-estradiol (E2)	approved	DB00783	5757	Microarray	Homo sapiens 	MCF-7 breast cancer cell line	22403704	2012	Endocrine disruptor regulation of microRNA expression in breast carcinoma cells.	Several members of the let-7 family (let-7a, let-7b, let-7c, let-7d, let-7e and let-7f), were downregulated (p<0.05) by all three treatments, consistent with published data in human breast cancer cells [36], and miR-15b (p<0.005) and miR-27b (p<0.01) were also downregulated by the three treatments (Table 2). In addition, upregulation of miR-638 (P<0.005), miR-663 (P<0.005), and miR-1915 (P<0.005) was observed after treatment of MCF7 cells with E2, BPA or DDT (Table 2).	down-regulated	
miR-21	MIMAT0000076	17beta-estradiol (E2)	approved	DB00783	5757	Quantitative real-time PCR	Homo sapiens 	MCF-7 breast cancer cell line	22403704	2012	Endocrine disruptor regulation of microRNA expression in breast carcinoma cells.	In addition, the miR-21 microarray results were validated in MCF-7 cells by qRT-PCR (Figure 5), with both estrogen and BPA significantly suppressing miR-21 expression.	down-regulated	
miR-21	MIMAT0000076	Bisphenol A	NULL	NULL	6623	Microarray	Homo sapiens 	MCF-7 breast cancer cell line	22403704	2012	Endocrine disruptor regulation of microRNA expression in breast carcinoma cells.	Several members of the let-7 family (let-7a, let-7b, let-7c, let-7d, let-7e and let-7f), were downregulated (p<0.05) by all three treatments, consistent with published data in human breast cancer cells [36], and miR-15b (p<0.005) and miR-27b (p<0.01) were also downregulated by the three treatments (Table 2). In addition, upregulation of miR-638 (P<0.005), miR-663 (P<0.005), and miR-1915 (P<0.005) was observed after treatment of MCF7 cells with E2, BPA or DDT (Table 2).	down-regulated	
miR-21	MIMAT0000076	O,p'-dichlorodiphenyltrichloroethane (DDT) 	NULL	NULL	13089	Microarray	Homo sapiens 	MCF-7 breast cancer cell line	22403704	2012	Endocrine disruptor regulation of microRNA expression in breast carcinoma cells.	Several members of the let-7 family (let-7a, let-7b, let-7c, let-7d, let-7e and let-7f), were downregulated (p<0.05) by all three treatments, consistent with published data in human breast cancer cells [36], and miR-15b (p<0.005) and miR-27b (p<0.01) were also downregulated by the three treatments (Table 2). In addition, upregulation of miR-638 (P<0.005), miR-663 (P<0.005), and miR-1915 (P<0.005) was observed after treatment of MCF7 cells with E2, BPA or DDT (Table 2).	down-regulated	
miR-21	MIMAT0000076	Cisplatin	approved	DB00515	84093	Quantitative real-time PCR	Homo sapiens 	HeLa cells	22475935	2012	Cisplatin treatment leads to changes in nuclear protein and microRNA expression.	In addition, the changed expression of several miRNAs was also observed by quantitative real-time PCR (qRT-PCR). 	up-regulated	
miR-21	MIMAT0000076	Progesterone 	approved	DB00396	5994	Microarray	Homo sapiens 	Hec1A cell	22543862	2012	Identification of differentially expressed microRNAs in endometrial cancer cells after progesterone treatment.	Of 868 miRNAs, the expression levels of miR-625*, -21, -142-5p, and 146b-5p were increased by more than 400%, whereas the expression levels of miR-633, -29c, -29*, and -193b were decreased by 51%.	up-regulated	
miR-21	MIMAT0000076	Temozolomide	approved	DB00853	5394	Quantitative real-time PCR	Homo sapiens 	Glioblastoma multiforme (GBM) 	22753745	2012	MicroRNA-21 inhibition enhances in vitro chemosensitivity of temozolomide-resistant glioblastoma cells.	Chronic TMZ exposure resulted in acquired TMZ-resistance and elevated miR-21 expression. 	up-regulated	
miR-21	MIMAT0000076	Glucocorticoid	NULL	NULL	NULL	Quantitative real-time PCR	Homo sapiens 	Eosinophilic  esophagitis	22815788	2012	MicroRNA profiling in mucosal biopsies of eosinophilic esophagitis patients pre and post treatment with steroids and relationship with mRNA targets.	of all the 377 miRNA sequences examined, 32 miRNAs were significantly upregulated and four downregulated in the pre-treated biopsies. MiR-214 was the most upregulated (150 fold) and miR-146b-5b, 146a, 145, 142-3p and 21 were upregulated by at least 10 fold. Out of 12 miRNAs chosen for validation by qRT-PCR, five (miR-214, 146b-5p, 146a, 142-3p and 21) were confirmed and 16 shared the same trend.	up-regulated	
miR-21	MIMAT0000076	Glucocorticoid	NULL	NULL	NULL	TaqMan low-density array	Homo sapiens 	Eosinophilic  esophagitis	22815788	2012	MicroRNA profiling in mucosal biopsies of eosinophilic esophagitis patients pre and post treatment with steroids and relationship with mRNA targets.	of all the 377 miRNA sequences examined, 32 miRNAs were significantly upregulated and four downregulated in the pre-treated biopsies. MiR-214 was the most upregulated (150 fold) and miR-146b-5b, 146a, 145, 142-3p and 21 were upregulated by at least 10 fold. Out of 12 miRNAs chosen for validation by qRT-PCR, five (miR-214, 146b-5p, 146a, 142-3p and 21) were confirmed and 13 shared the same trend.	up-regulated	
miR-21	MIMAT0000076	Matrine	NULL	NULL	91466	Quantitative real-time PCR	Homo sapiens 	breast cancer	22832383	2012	Matrine inhibits breast cancer growth via miR-21/PTEN/Akt pathway in MCF-7 cells.	Matrine up-regulated PTEN by downregulating miR-21 which in turn dephosphorylated Akt, resulting in accumulation of Bad, p21(/WAF1/CIP1) and p27(/KIP1).	up-regulated	
miR-21	MIMAT0000076	Trimetazidine (TMZ)	NULL	NULL	21109	Quantitative real-time PCR	Homo sapiens 	right ventricular cell	22842854	2012	Trimetazidine improves right ventricular function by increasing miR-21 expression.	The TMZ-treated RVMCs showed less apoptosis and an increased expression of miR-21.	up-regulated	
miR-21	MIMAT0000076	Triptolide	NULL	NULL	107985	Quantitative real-time PCR	Homo sapiens 	K562/A02 cells	22957792	2012	Triptolide modulates the sensitivity of K562/A02 cells to adriamycin by regulating miR-21 expression	K562/A02 cells showed a significant reduction in miR-21 and phosphatase and tensin homolog deleted on chromosome ten (PTEN) expressions after TPL treatment. 	down-regulated	
miR-21	MIMAT0000076	Ginsenoside Rh2 	NULL	NULL	119307	Microarray 	Homo sapiens 	NSCLC cell line A549	23152132	2013	Ginsenoside Rh2 mediates changes in the microRNA expression profile of human non-small cell lung cancer A549 cells.	Using miRNA microarray analysis, we identified 44 and 24 miRNAs displaying changes in expression greater than 2-fold in Rh2-treated A549 cells	down-regulated	
miR-21	MIMAT0000530	7,12-Dimethylbenz(?)anthracene (DMBA)	NULL	NULL	6001	Quantitative real-time PCR	Mus musculus	lung/kidney/liver/spleen	22210724	2012	DMBA induces deregulation of miRNA expression of let-7, miR-21 and miR-147a in CBA/CA mice.	Expression levels of miR-21, miR-146a and let-7a were significantly higher in the vital organs of the mice 24 hours after DMBA exposure compared to those of the controls. 	up-regulated	
miR-21	MIMAT0000530	Galactose	NULL	DB03501	6036	Quantitative real-time PCR	Mus musculus	lens	22736950	2012	Effect of high sugar levels on miRNA expression. Studies with galactosemic mice lenses.	However, as would be apparent from the microarray plot for the normal and galactosemic lenses, expression of at least 24 apoptotic miRs was upregulated. Six apoptotic miRs were downregulated.	up-regulated	
miR-21	MIMAT0000530	Sevoflurane	approved	DB01236 	5206	Quantitative real-time PCR	Mus musculus	lung cell	23124245	2012	Changes in microRNA expression in rat lungs caused by sevoflurane anesthesia: a TaqMan® low-density array study	Especially, miR-146a, the most up-regulated miRNA, is known to attenuate the toxic effects associated with LPS stimulation	down-regulated	
miR-21	MIMAT0000530	17beta-estradiol (E2)	approved	DB00783	5757	Microarray	Mus musculus 	rat breast 	17700064	2007	Estrogen-induced rat breast carcinogenesis is characterized by alterations in DNA methylation, histone modifications and aberrant microRNA expression.	"in  the  miRNAome  profiles  in  the  E2-treated  rats  (Table  1). After 6 and 12 weeks of E2 exposure, 15 miRNAs were down-regulated and  19  miRNAs  were  up-regulated;whereas,after  18  weeks  of  E2 treatment, only 1 miRNA was down-regulated and 5 miRNAs were upregulated. "	up-regulated	
miR-21	MIMAT0000530	17beta-estradiol (E2)	approved	DB00783	5757	Quantitative real-time PCR	Mus musculus 	rat breast 	17700064	2007	Estrogen-induced rat breast carcinogenesis is characterized by alterations in DNA methylation, histone modifications and aberrant microRNA expression.	"in  the  miRNAome  profiles  in  the  E2-treated  rats  (Table  1). After 6 and 12 weeks of E2 exposure, 15 miRNAs were down-regulated and  19  miRNAs  were  up-regulated;whereas,after  18  weeks  of  E2 treatment, only 1 miRNA was down-regulated and 5 miRNAs were upregulated. "	up-regulated	
miR-21	MIMAT0000530	Phenethyl isothiocyanate(PEITC)	NULL	NULL	16741	Microarray	Mus musculus 	neonatal mice liver 	20145010	2010	Modulation of microRNA expression by budesonide, phenethyl isothiocyanate and cigarette smoke in mouse liver and lung.	In particular, as shown in Table I and inferred from Venn diagrams and volcano-plot analyses (data not shown), several miRNAs were altered in their expression.	up-regulated	
miR-21	MIMAT0000530	Everolimus	approved	DB01590	6442177	Quantitative real-time PCR	Mus musculus 	mouse prostate cancer cell line Myc-CaP	22087262	2011	Concurrent HDAC and mTORC1 inhibition attenuate androgen receptor and hypoxia signaling associated with alterations in microRNA expression.	Response to everolimus single treatment however resulted in both miRs being up-regulated respective to control treated mice. 	up-regulated	
miR-21	MIMAT0000530	Panobinostat	NULL	NULL	6918837	Quantitative real-time PCR	Mus musculus 	mouse prostate cancer cell line Myc-CaP	22087262	2011	Concurrent HDAC and mTORC1 inhibition attenuate androgen receptor and hypoxia signaling associated with alterations in microRNA expression.	Regulation of miR expression patterns in both Myc-CaP/AS and Myc-CaP/CR by panobinostat single treatment resulted in down-regulation of miR-20a and miR-21 compared to vehicle treated mice.	down-regulated	
miR-21	MIMAT0000530	Atorvastatin	approved	DB01076	60823	Quantitative real-time PCR	Mus musculus 	 Cardiomyocyte 	23860036	2013	MicroRNA-22 downregulation by atorvastatin in a mouse model of cardiac hypertrophy: a new mechanism for antihypertrophic intervention.	Compared with control, the expression of miR-1, miR-9, miR-26a and miR-133a was substantially downregulated (p<0.01)(Fig. 1), while the expression of miR-21, miR-22, miR-23a, miR-27, miR-199a, miR-208, miR-214 and miR-499 was upregulated in Ang II-induced cardiomyocytes hypertrophy (p<0.01)(Fig. 1).	up-regualted	
miR-21	MIMAT0000790	Nicotine	approved	DB00184	89594	Microarray	Rattus norvegicus 	Rat  adrenal  pheochromocytoma  PC12 cell	18845019	2009	Nicotine modulates expression of miR-140*, which targets the 3'-untranslated region of dynamin 1 gene (Dnm1).	Of most importance,  we  identified  25  miRNAs  whose  expressions were sensitive to nicotine stimulation, 11 up-regulated and 14 down-regulated by nicotine (Table 1).	down-regulated	
miR-21	MIMAT0000790	Longevinex	NULL	NULL	NULL	Quantitative real-time PCR	Rattus norvegicus 	ischemia/reperfusion [I/R] rat model 	21203465	2011	Restoration of altered microRNA expression in the ischemic heart with resveratrol.	Top 25 miRNAs were listed, which were either up or down regulated in IR condition (Table 1) and the most regulations were reversed by pretreatment with resveratrol and longevinex. 	up-regulated	
miR-21	MIMAT0000790	Resveratrol	NULL	DB02709	445154	Quantitative real-time PCR	Rattus norvegicus 	ischemia/reperfusion [I/R] rat model 	21203465	2011	Restoration of altered microRNA expression in the ischemic heart with resveratrol.	Top 25 miRNAs were listed, which were either up or down regulated in IR condition (Table 1) and the most regulations were reversed by pretreatment with resveratrol and longevinex. 	up-regulated	
miR-21	MIMAT0000790	Isoproterenol	approved	DB01064	3779	Quantitative real-time PCR	Rattus norvegicus 	heart	22847192	2012	Beta-adrenoceptor regulates miRNA expression in rat heart.	The recognized anti-hypertrophic miRNAs miR-1, miR-21 and miR-27b, and the pro-hypertrophic miRNAs miR-22, miR-24, miR-199a, miR-212 and miR-214, were upregulated in the ISO group. In the PRO group, pro-hypertrophic miRNA miR-30c was upregulated, whereas miR-212 was downregulated.	up-regulated	
miR-21	MIMAT0000790	Isoproterenol	approved	DB01064	3779	Quantitative real-time PCR	Rattus norvegicus 	heart	22847192	2012	Beta-adrenoceptor regulates miRNA expression in rat heart.	The recognized anti-hypertrophic miRNAs miR-1, miR-21 and miR-27b, and the pro-hypertrophic miRNAs miR-22, miR-24, miR-199a, miR-212 and miR-214, were upregulated in the ISO group. In the PRO group, pro-hypertrophic miRNA miR-30c was upregulated, whereas miR-212 was downregulated.	up-regulated	
miR-21	MIMAT0000790	3-methylcholanthrene (MC)	NULL	NULL	1674	Quantitative real-time PCR	Rattus norvegicus 	liver	24727239	2014	Expression of microRNAs, CYP1A1 and CYP2B1 in the livers and ovaries of female rats treated with DDT and PAHs	It was shown that miR-21, 221, 222, and 429 expression levels decreased in the liver of DDT-, BP-, and MC-treated rats, whereas increases were observed in CYP1A1 and CYP2B1 mRNA expression levels and protein content, and EROD and PROD activities.	down-regulated	
miR-21	MIMAT0000790	3-methylcholanthrene (MC)	NULL	NULL	1674	Quantitative real-time PCR	Rattus norvegicus 	ovary	24727239	2014	Expression of microRNAs, CYP1A1 and CYP2B4 in the livers and ovaries of female rats treated with DDT and PAHs	It was shown that miR-21, 221, 222, and 429 expression levels decreased in the liver of DDT-, BP-, and MC-treated rats, whereas increases were observed in CYP1A1 and CYP2B1 mRNA expression levels and protein content, and EROD and PROD activities.	down-regulated	
miR-21	MIMAT0000790	3-methylcholanthrene (MC)	NULL	NULL	1674	Quantitative real-time PCR	Rattus norvegicus 	ovaries	24727239	2014	Expression of microRNAs, CYP1A1 and CYP2B1 in the livers and ovaries of female rats treated with DDT and PAHs.	a significant increase in miR-21, 221, and 429 levels of 6, 3, and 3 times, respectively, was observed in MC-treated ovaries.	up-regulated	
miR-21	MIMAT0000790	Benzo(a)pyrene	NULL	NULL	2336	Quantitative real-time PCR	Rattus norvegicus 	liver	24727239	2014	Expression of microRNAs, CYP1A1 and CYP2B1 in the livers and ovaries of female rats treated with DDT and PAHs	It was shown that miR-21, 221, 222, and 429 expression levels decreased in the liver of DDT-, BP-, and MC-treated rats, whereas increases were observed in CYP1A1 and CYP2B1 mRNA expression levels and protein content, and EROD and PROD activities.	down-regulated	
miR-21	MIMAT0000790	Benzo(a)pyrene	NULL	NULL	2336	Quantitative real-time PCR	Rattus norvegicus 	ovary	24727239	2014	Expression of microRNAs, CYP1A1 and CYP2B4 in the livers and ovaries of female rats treated with DDT and PAHs	It was shown that miR-21, 221, 222, and 429 expression levels decreased in the liver of DDT-, BP-, and MC-treated rats, whereas increases were observed in CYP1A1 and CYP2B1 mRNA expression levels and protein content, and EROD and PROD activities.	down-regulated	
miR-21	MIMAT0000790	Benzo(a)pyrene	NULL	NULL	2336	Quantitative real-time PCR	Rattus norvegicus 	liver 	24727239	2014	Expression of microRNAs, CYP1A1 and CYP2B1 in the livers and ovaries of female rats treated with DDT and PAHs.	 It was shown that miR-21, 221, 222, and 429 expression levels decreased in the liver of DDT-, BP-, and MC-treated rats	down-regulated	
miR-21	MIMAT0000790	O,p'-dichlorodiphenyltrichloroethane (DDT) 	NULL	NULL	13089	Quantitative real-time PCR	Rattus norvegicus 	liver	24727239	2014	Expression of microRNAs, CYP1A1 and CYP2B1 in the livers and ovaries of female rats treated with DDT and PAHs	It was shown that miR-21, 221, 222, and 429 expression levels decreased in the liver of DDT-, BP-, and MC-treated rats, whereas increases were observed in CYP1A1 and CYP2B1 mRNA expression levels and protein content, and EROD and PROD activities.	down-regulated	
miR-21	MIMAT0000790	O,p'-dichlorodiphenyltrichloroethane (DDT) 	NULL	NULL	13090	Quantitative real-time PCR	Rattus norvegicus 	ovary	24727239	2014	Expression of microRNAs, CYP1A1 and CYP2B4 in the livers and ovaries of female rats treated with DDT and PAHs	It was shown that miR-21, 221, 222, and 429 expression levels decreased in the liver of DDT-, BP-, and MC-treated rats, whereas increases were observed in CYP1A1 and CYP2B1 mRNA expression levels and protein content, and EROD and PROD activities.	down-regulated	
miR-21	MIMAT0000790	O,p'-dichlorodiphenyltrichloroethane (DDT) 	NULL	NULL	13094	Quantitative real-time PCR	Rattus norvegicus 	liver 	24727239	2014	Expression of microRNAs, CYP1A1 and CYP2B1 in the livers and ovaries of female rats treated with DDT and PAHs.	 It was shown that miR-21, 221, 222, and 429 expression levels decreased in the liver of DDT-, BP-, and MC-treated rats	down-regulated	
